Model,MAE,RMSE,R²,MAPE,Train_MAE,Train_R²,Region
Ensemble,4.446576222408443,6.471433388825736,0.523148919376454,114.19821315472747,5.467752324659634,0.5786785224984964,HSE Dublin & Midlands
LightGBM,4.638037166799979,7.037602967452572,0.43606204547882843,127.58852307319175,5.0801327533044685,0.6561055967816116,HSE Dublin & Midlands
Optimized_XGBoost,5.237202167510986,7.9531403487081755,0.27979016304016113,144.60212712279957,4.762059211730957,0.6905699968338013,HSE Dublin & Midlands
Simple_XGBoost,5.242077350616455,7.970546385297295,0.27663421630859375,147.9896016940661,4.8912200927734375,0.6763519644737244,HSE Dublin & Midlands
Baseline_MA_14,6.9690109890109895,9.382901379879925,-0.0024347281566705625,142.12432310392055,9.734399472426016,-0.13994195078961424,HSE Dublin & Midlands
Prophet,6.975750277129924,9.39923482114146,-0.0059277755744793215,141.76406963669268,9.7073033770671,-0.14773864469267384,HSE Dublin & Midlands
SARIMA,7.04061109636352,9.34143796218899,0.0064052949562928285,147.56930614336346,9.856135435528149,-0.25831157215592637,HSE Dublin & Midlands
SARIMA,6.653176768584581,9.30193281971042,-0.03753413683005835,86.48954407951939,11.584623532201247,-0.7024700788589509,HSE Dublin & North East
Baseline_MA_14,6.793002915451893,9.397347029632101,-0.05892823267740788,89.20466332456421,7.764762208745611,-0.08041407659769773,HSE Dublin & North East
Ensemble,7.130817545101028,11.261444206020675,-0.5207022077469017,160.2381793034397,4.022311427448803,0.7322551440615611,HSE Dublin & North East
Prophet,8.187874007633098,9.631659796136164,-0.11239304800767935,157.0598738181772,11.034893554435548,-0.21710892853404107,HSE Dublin & North East
LightGBM,8.72068396524916,14.95403379524412,-1.6814685833797522,206.56555472921636,3.646016820574288,0.8047324931142015,HSE Dublin & North East
Optimized_XGBoost,9.076454162597656,15.083068732931762,-1.7279436588287354,222.34549699752674,3.378899097442627,0.8298495411872864,HSE Dublin & North East
Simple_XGBoost,9.407830238342285,16.267094936882458,-2.1730432510375977,233.7450868070738,3.474186420440674,0.8241530656814575,HSE Dublin & North East
Optimized_XGBoost,4.896844387054443,7.0410760334613895,0.5253207683563232,116.22868633394128,5.010697841644287,0.7954331040382385,HSE Dublin & South East
Ensemble,4.930681327467947,6.967114411348898,0.5352407647540149,104.33978764121295,6.085711984993898,0.69935655971886,HSE Dublin & South East
Simple_XGBoost,5.032536029815674,7.099425880967803,0.517420768737793,119.39071499250437,5.1138691902160645,0.7862043976783752,HSE Dublin & South East
LightGBM,5.292456619635118,7.219713334531589,0.5009293256285422,134.27442679405087,5.2315769437425805,0.7781706804674707,HSE Dublin & South East
SARIMA,6.9158670390529755,10.435281932702074,-0.042630721895488444,77.26470422341585,19.53320773886517,-1.3351086000884655,HSE Dublin & South East
Prophet,7.366893891762656,10.282083441609954,-0.012242089419285174,97.78877312777254,12.77881247568673,-0.3532833806227189,HSE Dublin & South East
Baseline_MA_14,7.7767222625090655,10.245665981159693,-0.005084395242521245,115.42699944889196,12.403975912355799,-0.2488405842298136,HSE Dublin & South East
Ensemble,7.992446740717218,9.871508203871217,0.3645223063753835,19.609876792905464,11.23206714769263,0.4943504776729303,HSE Mid West
Simple_XGBoost,8.334952354431152,10.56453418894532,0.2721632719039917,20.50807308811971,9.834770202636719,0.5912774205207825,HSE Mid West
Optimized_XGBoost,8.356313705444336,10.644606149392452,0.26108843088150024,21.52471519025947,9.867228507995605,0.5905364751815796,HSE Mid West
LightGBM,8.360644804126343,10.304303496020605,0.3075784555358547,20.280688013432034,9.975899359343293,0.5819924898845972,HSE Mid West
SARIMA,9.01831481529002,11.562955658058591,0.12809130325580975,23.350519600298885,20.575295737304305,-0.745014406600355,HSE Mid West
Baseline_MA_14,9.97358943577431,12.527999852814688,-0.023521025059129563,26.02843269077487,15.751513317191284,-0.0744194194062,HSE Mid West
Prophet,11.49518455793579,14.399290622045541,-0.3521207682284353,29.741789328789555,29.5106917690721,-2.224435240031766,HSE Mid West
Ensemble,7.364138285899034,8.954911806464185,0.06736275529678659,165.12044896863847,6.064615841424276,0.5582949930317649,HSE South West
Optimized_XGBoost,7.853957176208496,9.843389982875841,-0.1268848180770874,166.31531612247855,5.38747501373291,0.6373211145401001,HSE South West
Simple_XGBoost,8.142671585083008,10.129157449039946,-0.19326460361480713,174.329441585639,5.39984655380249,0.6348925828933716,HSE South West
LightGBM,8.154502308344055,10.049841953175651,-0.17465029707890123,178.98521929865288,5.4833057339307985,0.6241178832904106,HSE South West
Baseline_MA_14,8.580357142857142,10.322163839357065,-0.23917209585311672,216.05715414079492,9.353236607142858,-0.0008585369079330274,HSE South West
SARIMA,9.051287714939658,10.745151585233108,-0.34281202620570883,229.74761674113674,10.22535257639954,-0.08732437807987337,HSE South West
Prophet,12.224289842047428,13.87823407072419,-1.2400542950476043,316.42647551272853,15.68358228825249,-1.2480345456350306,HSE South West
Ensemble,6.35327443896864,8.056786153902209,0.261351658814018,94.80697605112762,4.646731225278355,0.5298594867943367,HSE West & North West
LightGBM,6.492592483757598,8.117070074586048,0.25025661244223085,99.47637024526608,4.264479203532852,0.600081859440875,HSE West & North West
Simple_XGBoost,6.80109167098999,8.510746165464504,0.17576825618743896,108.46539315747725,4.1467061042785645,0.6210875511169434,HSE West & North West
Optimized_XGBoost,6.830227375030518,8.506745747086038,0.1765429973602295,107.30485708965443,4.129089832305908,0.6269646883010864,HSE West & North West
Prophet,7.818961846215764,9.487272608441215,-0.02422839870355209,138.67647355212264,8.484458644596463,-0.16850445974735218,HSE West & North West
SARIMA,8.844130593548812,10.490546066392957,-0.25230537336145775,197.1279645522809,7.965150044584006,-0.04713249760378835,HSE West & North West
Baseline_MA_14,9.57591623036649,11.341548826276881,-0.4637226297166568,217.64214505853445,10.052385114885112,-0.5225560994484286,HSE West & North West
